doc_name,company,doc_type,doc_period,gics_sector,doc_link,pages_in_corpus
3M_2018_10K,3M,10k,2018,Industrials,https://investors.3m.com/financials/sec-filings/content/0001558370-19-000470/0001558370-19-000470.pdf,2
3M_2022_10K,3M,10k,2022,Industrials,https://investors.3m.com/financials/sec-filings/content/0000066740-23-000014/0000066740-23-000014.pdf,5
3M_2023Q2_10Q,3M,10q,2023,Industrials,https://investors.3m.com/financials/sec-filings/content/0000066740-23-000058/0000066740-23-000058.pdf,3
ACTIVISIONBLIZZARD_2019_10K,Activision Blizzard,10k,2019,Communication Services,https://investor.activision.com/static-files/32abe798-add2-4770-9c7d-4cd3a840ede2,3
ADOBE_2015_10K,Adobe,10k,2015,Information Technology,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTUtRklOQUwucGRm,2
ADOBE_2016_10K,Adobe,10k,2016,Information Technology,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTYtRklOQUwucGRm,1
ADOBE_2017_10K,Adobe,10k,2017,Information Technology,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTctRklOQUwucGRm,2
ADOBE_2022_10K,Adobe,10k,2022,Information Technology,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMjItRklOQUwucGRm,2
AES_2022_10K,AES Corporation,10k,2022,Utilities,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000874761/3be55db1-bf7e-407a-8062-6a6b8d9dd2f5.pdf,2
AMAZON_2017_10K,Amazon,10k,2017,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/02da2a86-7bb9-4bcb-95ae-4ce27ea5e3bc.pdf,2
AMAZON_2019_10K,Amazon,10k,2019,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/4d39f579-19d8-4119-b087-ee618abf82d6.pdf,1
